@relation engine_fault_detection_dataset

@attribute Vibration_Amplitude numeric
@attribute RMS_Vibration numeric
@attribute Vibration_Frequency numeric
@attribute Surface_Temperature numeric
@attribute Exhaust_Temperature numeric
@attribute Acoustic_dB numeric
@attribute Acoustic_Frequency numeric
@attribute Intake_Pressure numeric
@attribute Exhaust_Pressure numeric
@attribute Frequency_Band_Energy numeric
@attribute Amplitude_Mean numeric
@attribute Engine_Condition numeric

@data
3.807947,1.899522,1465.396656,106.577348,319.564816,110.834195,3733.620495,91.279833,104.544934,0.889443,0.294582,0
9.512072,1.697915,385.333751,85.115094,237.92711,89.671023,4417.399188,114.855139,84.358093,0.916455,0.268216,0
7.34674,0.921962,706.346595,145.739823,250.54369,71.727937,2369.581389,97.479227,108.393914,0.440535,0.182008,0
6.026719,3.05597,1333.295661,56.277414,272.268451,104.198507,1516.975785,98.518121,105.296723,0.308468,0.251674,2
1.644585,2.40929,974.536902,100.54277,281.461334,85.120688,1662.348214,96.787358,107.565599,0.272495,0.188897,0
1.644346,4.33522,1482.370656,114.025202,296.904724,95.677649,3515.046466,115.202519,88.569332,0.893758,0.332386,1
0.675028,0.208942,1923.191644,129.067739,302.184012,66.435917,2881.034367,119.36706,90.067098,0.3081,0.419165,0
8.675144,3.237146,250.762442,78.836524,382.286538,97.895039,2483.821242,112.6556,94.097763,0.577755,0.395578,0
6.051039,3.826597,1424.944078,112.430629,403.829276,82.413029,1093.592986,114.707336,86.72602,0.398565,0.176939,0
7.109919,3.809459,476.081428,66.384177,323.551683,80.051385,4389.732869,108.615014,93.962678,0.549042,0.259616,0
0.303786,4.436066,840.66392,82.257131,562.918568,118.794935,3927.000193,105.863247,80.276051,0.41119,0.015222,1
9.702108,3.658717,85.068197,137.475256,421.255889,85.945839,789.129149,111.64734,106.326097,0.363654,0.436436,0
8.341182,4.64266,289.096617,143.988913,514.990771,100.682303,1900.203428,91.072886,84.868821,0.484591,0.130244,0
2.202157,1.69665,653.159032,116.258082,569.695133,97.663652,2756.447259,91.842016,95.025435,0.399633,0.226135,0
1.900067,2.540887,697.131894,74.922227,265.254046,66.258213,2326.259252,110.618205,107.864795,0.855722,0.08475,0
1.915705,0.119694,1801.178729,128.406935,371.149793,104.875652,2049.19961,100.052099,104.629476,0.622591,0.342273,1
3.111998,0.08444,1488.78956,33.10405,373.284161,79.389552,3622.276298,104.665031,103.283737,0.25855,0.277196,1
5.295089,1.238627,1944.922277,42.329509,341.7889,107.936373,367.067171,113.459777,98.163369,0.312351,0.188747,0
4.376256,0.548996,1206.16159,109.364848,203.562347,96.458447,2409.910662,107.314737,93.088205,0.148198,0.272245,1
2.983168,1.338046,498.59319,64.949829,526.388843,79.025489,1384.690283,114.157856,93.381121,0.36972,0.092681,0
6.157344,0.926364,668.756959,144.166346,244.623729,81.377578,514.630088,102.574657,82.608968,0.702566,0.390063,0
1.480989,0.191174,653.275128,82.327273,598.192239,103.890442,2377.947074,98.622701,81.943579,0.264663,0.14032,2
2.992232,4.551056,666.458769,81.523778,509.183397,93.003559,939.706586,97.045107,105.303156,0.189282,0.311362,0
3.726982,0.090705,1352.469063,111.369541,432.004007,100.101062,1365.298981,93.950429,92.259563,0.388914,0.450706,0
4.615093,3.693607,1070.999698,122.108227,261.842567,69.499099,2584.342775,91.103896,81.620481,0.65127,0.028907,1
7.873242,0.803132,783.139873,87.067049,406.157189,107.2186,4871.174002,91.59447,99.891628,0.525502,0.199892,1
2.07677,4.565537,315.197742,55.680108,304.443496,79.223479,3452.849533,98.129965,100.499072,0.398971,0.07611,0
5.190921,4.46934,63.835543,122.797037,300.92901,97.191676,1470.146811,98.352378,86.823211,0.894657,0.455242,0
5.964904,3.286811,453.292662,68.442153,531.8117,66.88079,1973.789658,101.453536,92.321588,0.521702,0.186438,1
0.559859,3.377559,232.79338,51.013292,352.25777,79.285214,2090.052446,107.748521,97.202722,0.509542,0.114537,0
6.114694,0.076429,1575.181161,105.796823,380.289521,98.932038,852.824354,112.778986,97.888453,0.128491,0.341474,0
1.788189,4.925114,242.745956,40.85444,537.185895,76.452368,887.205525,95.93115,95.333465,0.675409,0.276164,0
0.744011,4.395271,1453.97191,146.562321,235.11625,112.818732,827.134145,112.777445,90.925894,0.51341,0.410299,1
9.493967,4.480776,783.604206,105.887672,437.847141,99.673704,2656.154275,94.169686,82.064602,0.230569,0.379003,1
9.659757,3.31326,165.289212,148.307463,431.286273,112.216704,3403.511825,119.660809,80.668508,0.319365,0.487588,0
8.103134,1.756695,1629.205498,70.667211,370.085828,83.723442,2994.531355,98.551013,93.786042,0.282127,0.054361,0
3.115676,4.473561,1167.668529,146.544619,531.909857,62.039109,4891.059209,115.12005,86.08828,0.209888,0.049334,0
